symbol,timestamp,open,high,low,close,volume
SPY,2026-04-02T11:05:00-04:00,654.9900,655.1500,654.0800,654.8430,625550
SPY,2026-04-02T11:10:00-04:00,654.8500,655.9300,654.6000,655.2500,632741
SPY,2026-04-02T11:15:00-04:00,655.2612,655.7800,654.6900,655.1900,706186
SPY,2026-04-02T11:20:00-04:00,655.1800,655.2300,653.9200,654.7000,669959
SPY,2026-04-02T11:25:00-04:00,654.6800,655.7100,654.0000,655.2900,798655
SPY,2026-04-02T11:30:00-04:00,655.3200,655.4200,654.3200,654.9657,476572
SPY,2026-04-02T11:35:00-04:00,654.9800,655.8894,654.8300,655.2100,442483
SPY,2026-04-02T11:40:00-04:00,655.1900,655.4099,654.2600,655.2200,459943
SPY,2026-04-02T11:45:00-04:00,655.2200,655.2398,654.0900,654.1600,447248
SPY,2026-04-02T11:50:00-04:00,654.1800,654.6294,653.0301,654.4700,922434
SPY,2026-04-02T11:55:00-04:00,654.4500,654.7550,653.7630,654.0000,713738
SPY,2026-04-02T12:00:00-04:00,653.9850,654.6700,653.5900,653.7700,421113
SPY,2026-04-02T12:05:00-04:00,653.7700,654.1100,652.8000,653.5800,432507
SPY,2026-04-02T12:10:00-04:00,653.5800,653.7400,653.0300,653.3882,346307
SPY,2026-04-02T12:15:00-04:00,653.3800,653.6500,652.4600,652.5000,521906
SPY,2026-04-02T12:20:00-04:00,652.4900,653.0900,652.1700,652.5500,568159
SPY,2026-04-02T12:25:00-04:00,652.5400,653.2500,652.3300,652.7200,455083
SPY,2026-04-02T12:30:00-04:00,652.7100,654.0000,652.5200,653.5700,442600
SPY,2026-04-02T12:35:00-04:00,653.5600,653.8440,652.5650,653.2800,566358
SPY,2026-04-02T12:40:00-04:00,653.2200,654.9500,653.2100,654.2300,708811
SPY,2026-04-02T12:45:00-04:00,654.2700,654.5600,653.9500,654.2700,278319
SPY,2026-04-02T12:50:00-04:00,654.2700,654.5800,653.8900,654.3499,781347
SPY,2026-04-02T12:55:00-04:00,654.3150,654.3150,653.5400,653.5600,201078
SPY,2026-04-02T13:00:00-04:00,653.5700,653.9400,653.0300,653.8100,300878
SPY,2026-04-02T13:05:00-04:00,653.7900,654.0000,653.5000,653.7700,175779
SPY,2026-04-02T13:10:00-04:00,653.7900,654.6100,653.4100,654.3600,256705
SPY,2026-04-02T13:15:00-04:00,654.3400,655.0300,654.2600,654.6100,278976
SPY,2026-04-02T13:20:00-04:00,654.5700,655.0000,654.4144,654.8400,267716
SPY,2026-04-02T13:25:00-04:00,654.8800,655.0400,654.5723,654.6300,194336
SPY,2026-04-02T13:30:00-04:00,654.6500,654.7500,654.1700,654.3000,613069
SPY,2026-04-02T13:35:00-04:00,654.3000,654.3550,653.9500,654.2900,209726
SPY,2026-04-02T13:40:00-04:00,654.2800,654.4200,653.8000,654.2300,248873
SPY,2026-04-02T13:45:00-04:00,654.2500,654.3000,652.6900,652.7700,449528
SPY,2026-04-02T13:50:00-04:00,652.7600,653.2600,652.5500,653.2300,385707
SPY,2026-04-02T13:55:00-04:00,653.2400,653.4750,652.8600,653.2102,263347
SPY,2026-04-02T14:00:00-04:00,653.2400,653.9200,653.2400,653.9000,468835
SPY,2026-04-02T14:05:00-04:00,653.9050,654.4180,653.7200,654.0097,443465
SPY,2026-04-02T14:10:00-04:00,653.9900,654.3400,653.8100,653.9000,424549
SPY,2026-04-02T14:15:00-04:00,653.9100,654.2400,653.5900,653.9900,344297
SPY,2026-04-02T14:20:00-04:00,653.9800,654.0900,653.6600,653.6700,214384
SPY,2026-04-02T14:25:00-04:00,653.6600,653.7400,653.3600,653.5100,366261
SPY,2026-04-02T14:30:00-04:00,653.5000,653.8400,653.3900,653.7200,415381
SPY,2026-04-02T14:35:00-04:00,653.6900,653.8100,653.4200,653.5700,378138
SPY,2026-04-02T14:40:00-04:00,653.5400,654.5400,653.5200,654.3400,487413
SPY,2026-04-02T14:45:00-04:00,654.3100,654.6500,654.2200,654.4999,492404
SPY,2026-04-02T14:50:00-04:00,654.4945,655.0150,654.3200,654.6901,637874
SPY,2026-04-02T14:55:00-04:00,654.7200,654.7300,654.3500,654.4600,399408
